author;author_type;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price_per_m2;price_per_month;commissions;year_of_construction;living_meters;kitchen_meters;phone;district;street;underground
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/282861728/;Москва;rent;flat;44;75;2;68.0;3529;240000;0;2013;-1;-1;+79164053418;Пресненский;1-й Красногвардейский проезд;Деловой центр
ID 18835544;official_representative;https://www.cian.ru/rent/flat/285274355/;Москва;rent;flat;5;12;2;171.0;7017;1200000;0;2015;-1;-1;+79645650253;Тверской;Охотный Ряд;Охотный ряд
ID 18835544;official_representative;https://www.cian.ru/rent/flat/277258564/;Москва;rent;flat;10;12;2;88.0;9090;800000;0;2015;-1;-1;+79645655164;Тверской;Охотный Ряд;Охотный ряд
ID 18835544;official_representative;https://www.cian.ru/rent/flat/274012767/;Москва;rent;flat;10;12;3;121.0;7024;850000;0;2015;-1;-1;+79645655164;Тверской;Охотный Ряд;Охотный ряд
ID 365013;homeowner;https://www.cian.ru/rent/flat/284994453/;Москва;rent;flat;8;12;3;135.0;1407;190000;0;2003;97.0;10.0;+79629423130;Тверской;2-й Щемиловский переулок;Новослободская
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/282541298/;Москва;rent;flat;54;75;2;88.0;3295;290000;0;2013;-1;-1;+79164053418;Пресненский;1-й Красногвардейский проезд;Деловой центр
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/282862720/;Москва;rent;flat;42;75;2;98.0;3469;340000;0;2013;-1;-1;+79164053418;Пресненский;1-й Красногвардейский проезд;Деловой центр
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/282862481/;Москва;rent;flat;52;75;2;101.0;3168;320000;0;2013;-1;-1;+79164053418;Пресненский;1-й Красногвардейский проезд;Деловой центр
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/282862261/;Москва;rent;flat;52;75;2;100.0;3300;330000;0;2013;-1;-1;+79164053418;Пресненский;1-й Красногвардейский проезд;Деловой центр
ID 15139550;homeowner;https://www.cian.ru/rent/flat/280027763/;Москва;rent;flat;3;9;2;39.0;1025;40000;0;1964;22.8;7.4;+74954760059;Зюзино;Перекопская;Зюзино
Trust Realty;real_estate_agent;https://www.cian.ru/rent/flat/284260617/;Москва;rent;flat;2;8;3;118.0;1949;230000;0;1898;-1;-1;+79164328968;Красносельский;Милютинский переулок;Лубянка
ID 100303104;homeowner;https://www.cian.ru/rent/flat/284204154/;Москва;rent;flat;19;23;2;48.0;1562;75000;0;2018;-1;-1;+79852248766;Лефортово;Красноказарменная;Авиамоторная
Лиедел Инвестментс Лимитед;official_representative;https://www.cian.ru/rent/flat/282862046/;Москва;rent;flat;56;75;2;90.0;3666;330000;0;2013;-1;-1;+79164053418;Пресненский;1-й Красногвардейский проезд;Деловой центр
Excellent real estate;real_estate_agent;https://www.cian.ru/rent/flat/284632881/;Москва;rent;flat;20;51;3;80.0;1875;150000;15;2020;60.0;10.0;+79660559497;Раменки;Мичуринский проспект;Раменки
Voller.one;real_estate_agent;https://www.cian.ru/rent/flat/284177892/;Москва;rent;flat;2;5;3;187.0;1657;310000;0;1892;-1;-1;+79099988318;Басманный;Мясницкая;Тургеневская
Аврора Проперти;real_estate_agent;https://www.cian.ru/rent/flat/274930830/;Москва;rent;flat;5;5;3;71.8;4178;300000;0;1876;-1;8.0;+79652530061;Тверской;Петровка;Трубная
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/284402317/;Москва;rent;flat;4;4;3;85.0;2941;250000;0;1917;60.0;6.0;+79856202910;Басманный;Малый Златоустинский переулок;Китай-город
Apple Real Estate;real_estate_agent;https://www.cian.ru/rent/flat/274712626/;Москва;rent;flat;8;57;3;220.0;1227;270000;0;2006;108.0;24.0;+79197654832;Хорошевский;Чапаевский переулок;Сокол
ID 45054846;homeowner;https://www.cian.ru/rent/flat/285370997/;Москва;rent;flat;1;5;2;43.0;976;42000;0;1964;30.0;6.0;+79856936624;Гольяново;Уральская;Щёлковская
АЛЬФА;real_estate_agent;https://www.cian.ru/rent/flat/285031410/;Москва;rent;flat;16;57;2;60.0;1483;89000;33;2022;-1;-1;+79165532011;Хорошево-Мневники;Народного Ополчения;Народное Ополчение
ЦАН;real_estate_agent;https://www.cian.ru/rent/flat/284953673/;Москва;rent;flat;16;57;2;53.0;1698;90000;35;2022;35.0;10.0;+79651095293;Хорошево-Мневники;Народного Ополчения;Народное Ополчение
ID 68211549;homeowner;https://www.cian.ru/rent/flat/274454022/;Москва;rent;flat;9;12;2;52.5;1047;55000;0;1991;-1;-1;+79852598639;Отрадное;Римского-Корсакова;Отрадное
